lineID,vegetationIndex,long,lat
way/5840180,0.8204864778969755,-121.03914851177647,47.78228015885822
way/5840180,0.8197711431330431,-121.03781014690612,47.78228015885822
way/5840180,0.821300560674635,-121.03914850019947,47.783179480464064
way/5840180,0.8205835638758916,-121.03781011217563,47.783179480464064
way/5840180,0.8205926205168579,-121.04024691739535,47.78184365885826
way/5840180,0.8203178500841256,-121.04255152936899,47.7809134588583
way/5840180,0.8199900660208358,-121.0412131996828,47.7809134588583
way/5840180,0.8211414302481159,-121.04255151779284,47.78181278046416
way/5840180,0.8208135931048599,-121.04121316495491,47.78181278046416
way/5840180,0.8205365339769419,-121.04482363180047,47.78072455885833
way/5840180,0.8203327965703516,-121.04348530697708,47.78072455885833
